,movie_name,released_year,rating,genre,duration,metascore,votes,certificate
0,Zack Snyder's Justice League,2021,8.1,"
Action, Adventure, Fantasy            ",242 min,54        ,"306,080",R
1,Aspirants,2021– ,9.0,"
Drama            ",45 min,not available,"271,823",not available
2,WandaVision,2021,8.1,"
Action, Comedy, Drama            ",350 min,not available,"185,371",TV-PG
3,Radhe,2021,1.8,"
Action, Crime, Thriller            ",135 min,not available,"163,416",TV-MA
4,Godzilla vs. Kong,2021,6.4,"
Action, Sci-Fi, Thriller            ",113 min,59        ,"145,439",PG-13
5,Army of the Dead,2021,5.8,"
Action, Crime, Horror            ",148 min,57        ,"121,291",R
6,The Falcon and the Winter Soldier,2021,7.4,"
Action, Adventure, Drama            ",50 min,not available,"117,803",TV-14
7,Mortal Kombat,2021,6.2,"
Action, Adventure, Fantasy            ",110 min,44        ,"117,004",R
8,Nobody,I 2021,7.4,"
Action, Crime, Drama            ",92 min,64        ,"109,141",R
9,Raya and the Last Dragon,2021,7.4,"
Animation, Action, Adventure            ",107 min,75        ,"85,167",PG
10,Cruella,2021,7.4,"
Comedy, Crime            ",134 min,59        ,"76,293",PG-13
11,Lupin,2021– ,7.5,"
Action, Crime, Drama            ",45 min,not available,"74,383",TV-MA
12,Invincible,2021– ,8.8,"
Animation, Action, Adventure            ",364 min,not available,"68,693",TV-MA
13,Wrath of Man,2021,7.2,"
Action, Crime, Thriller            ",119 min,57        ,"64,100",R
14,The Little Things,2021,6.3,"
Crime, Drama, Thriller            ",128 min,54        ,"63,651",R
15,The Mitchells vs the Machines,2021,7.7,"
Animation, Adventure, Comedy            ",113 min,80        ,"61,824",PG
16,Mare of Easttown,2021,8.5,"
Crime, Drama, Mystery            ",410 min,not available,"61,686",TV-MA
17,Master,2021,7.9,"
Action, Thriller            ",179 min,not available,"60,146",Not Rated
18,Coming 2 America,2021,5.3,"
Comedy            ",110 min,52        ,"58,368",PG-13
19,The Dig,2021,7.1,"
Biography, Drama, History            ",112 min,73        ,"57,951",PG-13
20,Tandav,2021– ,3.7,"
Drama, Thriller            ",30 min,not available,"55,374",TV-14
21,Shadow and Bone,2021– ,7.8,"
Action, Adventure, Drama            ",not available,not available,"55,184",TV-14
22, Attack on Titan,2013–2021,9.9,"
Animation, Action, Adventure            ",24 min,not available,"54,304",TV-MA
23,The Conjuring: The Devil Made Me Do It,2021,6.4,"
Horror, Mystery, Thriller            ",112 min,53        ,"53,854",R
24,Judas and the Black Messiah,2021,7.5,"
Biography, Drama, History            ",126 min,85        ,"51,639",R
25,The Woman in the Window,2021,5.7,"
Crime, Drama, Mystery            ",100 min,41        ,"51,580",R
26,The White Tiger,2021,7.1,"
Crime, Drama            ",125 min,76        ,"50,394",R
27,Loki,2021– ,9.0,"
Action, Adventure, Fantasy            ",not available,not available,"47,238",TV-14
28,The One Where They Get Back Together,2021 TV Special,8.1,"
Comedy, Romance            ",104 min,not available,"45,505",TV-14
29,Behind Her Eyes,2021,7.2,"
Drama, Mystery, Thriller            ",298 min,not available,"45,285",TV-MA
30,Tom Clancy's Without Remorse,2021,5.8,"
Action, Thriller, War            ",109 min,41        ,"42,186",R
31, Attack on Titan,2013–2021,9.9,"
Animation, Action, Adventure            ",24 min,not available,"39,826",TV-MA
32, Attack on Titan,2013–2021,9.9,"
Animation, Action, Adventure            ",24 min,not available,"38,143",TV-MA
33,Outside the Wire,2021,5.4,"
Action, Adventure, Fantasy            ",114 min,45        ,"36,336",R
34,Stowaway,2021,5.6,"
Drama, Sci-Fi, Thriller            ",116 min,63        ,"34,840",TV-MA
35,Luca,2021,7.6,"
Animation, Adventure, Comedy            ",95 min,71        ,"34,502",PG
36,Thunder Force,2021,4.4,"
Action, Adventure, Comedy            ",106 min,34        ,"34,283",PG-13
37,Those Who Wish Me Dead,2021,6.0,"
Action, Drama, Thriller            ",100 min,59        ,"33,803",R
38,Ginny & Georgia,2021– ,7.5,"
Comedy, Drama            ",not available,not available,"33,543",TV-14
39,Boss Level,2021,6.9,"
Action, Mystery, Sci-Fi            ",94 min,56        ,"32,302",TV-MA
40,The Serpent,2021,7.7,"
Crime, Drama, Thriller            ",458 min,not available,"31,174",TV-MA
41,Jupiter's Legacy,2021,6.8,"
Action, Adventure, Drama            ",56 min,not available,"29,656",TV-MA
42,Fate: The Winx Saga,2021– ,6.9,"
Action, Adventure, Drama            ",not available,not available,"29,575",TV-MA
43,Malcolm & Marie,2021,6.7,"
Drama, Romance            ",106 min,53        ,"29,223",R
